"","cz","fips","county_code","county_name","state_code","state_name","Pop10","cz_name"
"1",1,1011,11,"Bullock County",1,"Alabama",10914,"Montgomery County, Alabama"
"2",1,1013,13,"Butler County",1,"Alabama",20947,"Montgomery County, Alabama"
"3",1,1001,1,"Autauga County",1,"Alabama",54571,"Montgomery County, Alabama"
"4",1,1051,51,"Elmore County",1,"Alabama",79303,"Montgomery County, Alabama"
"5",1,1085,85,"Lowndes County",1,"Alabama",11299,"Montgomery County, Alabama"
"6",1,1039,39,"Covington County",1,"Alabama",37765,"Montgomery County, Alabama"
"7",1,1041,41,"Crenshaw County",1,"Alabama",13906,"Montgomery County, Alabama"
"8",1,1101,101,"Montgomery County",1,"Alabama",229363,"Montgomery County, Alabama"
"9",1,1109,109,"Pike County",1,"Alabama",32899,"Montgomery County, Alabama"
"10",2,1003,3,"Baldwin County",1,"Alabama",182265,"Mobile County, Alabama"
"11",2,1097,97,"Mobile County",1,"Alabama",412992,"Mobile County, Alabama"
"12",2,28041,41,"Greene County",28,"Mississippi",14400,"Mobile County, Alabama"
"13",2,28045,45,"Hancock County",28,"Mississippi",43929,"Mobile County, Alabama"
"14",2,28047,47,"Harrison County",28,"Mississippi",187105,"Mobile County, Alabama"
"15",2,28059,59,"Jackson County",28,"Mississippi",139668,"Mobile County, Alabama"
"16",2,28109,109,"Pearl River County",28,"Mississippi",55834,"Mobile County, Alabama"
"17",2,28131,131,"Stone County",28,"Mississippi",17786,"Mobile County, Alabama"
"18",2,1129,129,"Washington County",1,"Alabama",17581,"Mobile County, Alabama"
"19",2,28039,39,"George County",28,"Mississippi",22578,"Mobile County, Alabama"
"20",3,1005,5,"Barbour County",1,"Alabama",27457,"Barbour County, Alabama"
"21",3,13099,99,"Early County",13,"Georgia",11008,"Barbour County, Alabama"
"22",3,13239,239,"Quitman County",13,"Georgia",2513,"Barbour County, Alabama"
"23",3,13037,37,"Calhoun County",13,"Georgia",6694,"Barbour County, Alabama"
"24",3,13061,61,"Clay County",13,"Georgia",3183,"Barbour County, Alabama"
"25",3,13243,243,"Randolph County",13,"Georgia",7719,"Barbour County, Alabama"
"26",4,1009,9,"Blount County",1,"Alabama",57322,"Jefferson County, Alabama"
"27",4,1021,21,"Chilton County",1,"Alabama",43643,"Jefferson County, Alabama"
"28",4,1073,73,"Jefferson County",1,"Alabama",658466,"Jefferson County, Alabama"
"29",4,1117,117,"Shelby County",1,"Alabama",195085,"Jefferson County, Alabama"
"30",4,1115,115,"St. Clair County",1,"Alabama",83593,"Jefferson County, Alabama"
"31",4,1007,7,"Bibb County",1,"Alabama",22915,"Jefferson County, Alabama"
"32",5,1015,15,"Calhoun County",1,"Alabama",118572,"Calhoun County, Alabama"
"33",5,1027,27,"Clay County",1,"Alabama",13932,"Calhoun County, Alabama"
"34",5,1111,111,"Randolph County",1,"Alabama",22913,"Calhoun County, Alabama"
"35",5,1121,121,"Talladega County",1,"Alabama",82291,"Calhoun County, Alabama"
"36",5,1029,29,"Cleburne County",1,"Alabama",14972,"Calhoun County, Alabama"
"37",5,1037,37,"Coosa County",1,"Alabama",11539,"Calhoun County, Alabama"
"38",5,1123,123,"Tallapoosa County",1,"Alabama",41616,"Calhoun County, Alabama"
"39",6,1087,87,"Macon County",1,"Alabama",21452,"Muscogee County, Georgia"
"40",6,1113,113,"Russell County",1,"Alabama",52947,"Muscogee County, Georgia"
"41",6,13053,53,"Chattahoochee County",13,"Georgia",11267,"Muscogee County, Georgia"
"42",6,1081,81,"Lee County",1,"Alabama",140247,"Muscogee County, Georgia"
"43",6,13197,197,"Marion County",13,"Georgia",8742,"Muscogee County, Georgia"
"44",6,13199,199,"Meriwether County",13,"Georgia",21992,"Muscogee County, Georgia"
"45",6,13215,215,"Muscogee County",13,"Georgia",189885,"Muscogee County, Georgia"
"46",6,13145,145,"Harris County",13,"Georgia",32024,"Muscogee County, Georgia"
"47",6,13285,285,"Troup County",13,"Georgia",67044,"Muscogee County, Georgia"
"48",6,13263,263,"Talbot County",13,"Georgia",6865,"Muscogee County, Georgia"
"49",6,1017,17,"Chambers County",1,"Alabama",34215,"Muscogee County, Georgia"
"50",7,1019,19,"Cherokee County",1,"Alabama",25989,"Etowah County, Alabama"
"51",7,1049,49,"DeKalb County",1,"Alabama",71109,"Etowah County, Alabama"
"52",7,1095,95,"Marshall County",1,"Alabama",93019,"Etowah County, Alabama"
"53",7,1055,55,"Etowah County",1,"Alabama",104430,"Etowah County, Alabama"
"54",7,1071,71,"Jackson County",1,"Alabama",53227,"Etowah County, Alabama"
"55",8,1023,23,"Choctaw County",1,"Alabama",13859,"Dallas County, Alabama"
"56",8,1025,25,"Clarke County",1,"Alabama",25833,"Dallas County, Alabama"
"57",8,1105,105,"Perry County",1,"Alabama",10591,"Dallas County, Alabama"
"58",8,1131,131,"Wilcox County",1,"Alabama",11670,"Dallas County, Alabama"
"59",8,1047,47,"Dallas County",1,"Alabama",43820,"Dallas County, Alabama"
"60",8,1091,91,"Marengo County",1,"Alabama",21027,"Dallas County, Alabama"
"61",9,1061,61,"Geneva County",1,"Alabama",26790,"Houston County, Alabama"
"62",9,1067,67,"Henry County",1,"Alabama",17302,"Houston County, Alabama"
"63",9,1031,31,"Coffee County",1,"Alabama",49948,"Houston County, Alabama"
"64",9,1045,45,"Dale County",1,"Alabama",50251,"Houston County, Alabama"
"65",9,1069,69,"Houston County",1,"Alabama",101547,"Houston County, Alabama"
"66",10,1059,59,"Franklin County",1,"Alabama",31704,"Lauderdale County, Alabama"
"67",10,1077,77,"Lauderdale County",1,"Alabama",92709,"Lauderdale County, Alabama"
"68",10,1033,33,"Colbert County",1,"Alabama",54428,"Lauderdale County, Alabama"
"69",11,1035,35,"Conecuh County",1,"Alabama",13228,"Escambia County, Alabama"
"70",11,1053,53,"Escambia County",1,"Alabama",38319,"Escambia County, Alabama"
"71",11,1099,99,"Monroe County",1,"Alabama",23068,"Escambia County, Alabama"
"72",12,1043,43,"Cullman County",1,"Alabama",80406,"Cullman County, Alabama"
"73",12,1057,57,"Fayette County",1,"Alabama",17241,"Cullman County, Alabama"
"74",12,1127,127,"Walker County",1,"Alabama",67023,"Cullman County, Alabama"
"75",12,1133,133,"Winston County",1,"Alabama",24484,"Cullman County, Alabama"
"76",12,1075,75,"Lamar County",1,"Alabama",14564,"Cullman County, Alabama"
"77",12,1093,93,"Marion County",1,"Alabama",30776,"Cullman County, Alabama"
"78",13,1107,107,"Pickens County",1,"Alabama",19746,"Tuscaloosa County, Alabama"
"79",13,1125,125,"Tuscaloosa County",1,"Alabama",194656,"Tuscaloosa County, Alabama"
"80",13,1063,63,"Greene County",1,"Alabama",9045,"Tuscaloosa County, Alabama"
"81",13,1065,65,"Hale County",1,"Alabama",15760,"Tuscaloosa County, Alabama"
"82",14,1079,79,"Lawrence County",1,"Alabama",34339,"Madison County, Alabama"
"83",14,1083,83,"Limestone County",1,"Alabama",82782,"Madison County, Alabama"
"84",14,47103,103,"Lincoln County",47,"Tennessee",33361,"Madison County, Alabama"
"85",14,1089,89,"Madison County",1,"Alabama",334811,"Madison County, Alabama"
"86",14,1103,103,"Morgan County",1,"Alabama",119490,"Madison County, Alabama"
"87",15,1119,119,"Sumter County",1,"Alabama",13763,"Lauderdale County, Mississippi"
"88",15,28075,75,"Lauderdale County",28,"Mississippi",80261,"Lauderdale County, Mississippi"
"89",15,28079,79,"Leake County",28,"Mississippi",23805,"Lauderdale County, Mississippi"
"90",15,28023,23,"Clarke County",28,"Mississippi",16732,"Lauderdale County, Mississippi"
"91",15,28069,69,"Kemper County",28,"Mississippi",10456,"Lauderdale County, Mississippi"
"92",15,28123,123,"Scott County",28,"Mississippi",28264,"Lauderdale County, Mississippi"
"93",15,28159,159,"Winston County",28,"Mississippi",19198,"Lauderdale County, Mississippi"
"94",15,28099,99,"Neshoba County",28,"Mississippi",29676,"Lauderdale County, Mississippi"
"95",15,28101,101,"Newton County",28,"Mississippi",21720,"Lauderdale County, Mississippi"
"96",16,2013,13,"Aleutians East Borough",2,"Alaska",3141,"Aleutians East Borough, Alaska"
"97",17,2016,16,"Aleutians West Census Area",2,"Alaska",5561,"Aleutians West Census Area, Alaska"
"98",18,2122,122,"Kenai Peninsula Borough",2,"Alaska",55400,"Anchorage Municipality, Alaska"
"99",18,2164,164,"Lake and Peninsula Borough",2,"Alaska",1631,"Anchorage Municipality, Alaska"
"100",18,2020,20,"Anchorage Municipality",2,"Alaska",291826,"Anchorage Municipality, Alaska"
"101",18,2230,230,"Skagway Municipality",2,"Alaska",968,"Anchorage Municipality, Alaska"
"102",18,2170,170,"Matanuska-Susitna Borough",2,"Alaska",88995,"Anchorage Municipality, Alaska"
"103",18,2185,185,"North Slope Borough",2,"Alaska",9430,"Anchorage Municipality, Alaska"
"104",19,2050,50,"Bethel Census Area",2,"Alaska",17013,"Bethel Census Area, Alaska"
