"","state_code","county_code","fips","county_name","state_name"
"1","01","001","01001","Autauga County","Alabama"
"2","01","003","01003","Baldwin County","Alabama"
"3","01","005","01005","Barbour County","Alabama"
"4","01","007","01007","Bibb County","Alabama"
"5","01","009","01009","Blount County","Alabama"
"6","01","011","01011","Bullock County","Alabama"
"7","01","013","01013","Butler County","Alabama"
"8","01","015","01015","Calhoun County","Alabama"
"9","01","017","01017","Chambers County","Alabama"
"10","01","019","01019","Cherokee County","Alabama"
"11","01","021","01021","Chilton County","Alabama"
"12","01","023","01023","Choctaw County","Alabama"
"13","01","025","01025","Clarke County","Alabama"
"14","01","027","01027","Clay County","Alabama"
"15","01","029","01029","Cleburne County","Alabama"
"16","01","031","01031","Coffee County","Alabama"
"17","01","033","01033","Colbert County","Alabama"
"18","01","035","01035","Conecuh County","Alabama"
"19","01","037","01037","Coosa County","Alabama"
"20","01","039","01039","Covington County","Alabama"
"21","01","041","01041","Crenshaw County","Alabama"
"22","01","043","01043","Cullman County","Alabama"
"23","01","045","01045","Dale County","Alabama"
"24","01","047","01047","Dallas County","Alabama"
"25","01","049","01049","DeKalb County","Alabama"
"26","01","051","01051","Elmore County","Alabama"
"27","01","053","01053","Escambia County","Alabama"
"28","01","055","01055","Etowah County","Alabama"
"29","01","057","01057","Fayette County","Alabama"
"30","01","059","01059","Franklin County","Alabama"
"31","01","061","01061","Geneva County","Alabama"
"32","01","063","01063","Greene County","Alabama"
"33","01","065","01065","Hale County","Alabama"
"34","01","067","01067","Henry County","Alabama"
"35","01","069","01069","Houston County","Alabama"
"36","01","071","01071","Jackson County","Alabama"
"37","01","073","01073","Jefferson County","Alabama"
"38","01","075","01075","Lamar County","Alabama"
"39","01","077","01077","Lauderdale County","Alabama"
"40","01","079","01079","Lawrence County","Alabama"
"41","01","081","01081","Lee County","Alabama"
"42","01","083","01083","Limestone County","Alabama"
"43","01","085","01085","Lowndes County","Alabama"
"44","01","087","01087","Macon County","Alabama"
"45","01","089","01089","Madison County","Alabama"
"46","01","091","01091","Marengo County","Alabama"
"47","01","093","01093","Marion County","Alabama"
"48","01","095","01095","Marshall County","Alabama"
"49","01","097","01097","Mobile County","Alabama"
"50","01","099","01099","Monroe County","Alabama"
"51","01","101","01101","Montgomery County","Alabama"
"52","01","103","01103","Morgan County","Alabama"
"53","01","105","01105","Perry County","Alabama"
"54","01","107","01107","Pickens County","Alabama"
"55","01","109","01109","Pike County","Alabama"
"56","01","111","01111","Randolph County","Alabama"
"57","01","113","01113","Russell County","Alabama"
"58","01","115","01115","St. Clair County","Alabama"
"59","01","117","01117","Shelby County","Alabama"
"60","01","119","01119","Sumter County","Alabama"
"61","01","121","01121","Talladega County","Alabama"
"62","01","123","01123","Tallapoosa County","Alabama"
"63","01","125","01125","Tuscaloosa County","Alabama"
"64","01","127","01127","Walker County","Alabama"
"65","01","129","01129","Washington County","Alabama"
"66","01","131","01131","Wilcox County","Alabama"
"67","01","133","01133","Winston County","Alabama"
"68","02","013","02013","Aleutians East Borough","Alaska"
"69","02","016","02016","Aleutians West Census Area","Alaska"
"70","02","020","02020","Anchorage Municipality","Alaska"
"71","02","050","02050","Bethel Census Area","Alaska"
"72","02","060","02060","Bristol Bay Borough","Alaska"
