fips,cbsa,cbsa_name,county,msa,delineation
46013,10100,"Aberdeen, SD","Brown County, South Dakota",micro,march_2020
46045,10100,"Aberdeen, SD","Edmunds County, South Dakota",micro,march_2020
53027,10140,"Aberdeen, WA","Grays Harbor County, Washington",micro,march_2020
48059,10180,"Abilene, TX","Callahan County, Texas",metro,march_2020
48253,10180,"Abilene, TX","Jones County, Texas",metro,march_2020
48441,10180,"Abilene, TX","Taylor County, Texas",metro,march_2020
40123,10220,"Ada, OK","Pontotoc County, Oklahoma",micro,march_2020
26091,10300,"Adrian, MI","Lenawee County, Michigan",micro,march_2020
39133,10420,"Akron, OH","Portage County, Ohio",metro,march_2020
39153,10420,"Akron, OH","Summit County, Ohio",metro,march_2020
35035,10460,"Alamogordo, NM","Otero County, New Mexico",micro,march_2020
13095,10500,"Albany, GA","Dougherty County, Georgia",metro,march_2020
13177,10500,"Albany, GA","Lee County, Georgia",metro,march_2020
13273,10500,"Albany, GA","Terrell County, Georgia",metro,march_2020
13321,10500,"Albany, GA","Worth County, Georgia",metro,march_2020
41043,10540,"Albany-Lebanon, OR","Linn County, Oregon",metro,march_2020
36001,10580,"Albany-Schenectady-Troy, NY","Albany County, New York",metro,march_2020
36083,10580,"Albany-Schenectady-Troy, NY","Rensselaer County, New York",metro,march_2020
36091,10580,"Albany-Schenectady-Troy, NY","Saratoga County, New York",metro,march_2020
36093,10580,"Albany-Schenectady-Troy, NY","Schenectady County, New York",metro,march_2020
36095,10580,"Albany-Schenectady-Troy, NY","Schoharie County, New York",metro,march_2020
37167,10620,"Albemarle, NC","Stanly County, North Carolina",micro,march_2020
27047,10660,"Albert Lea, MN","Freeborn County, Minnesota",micro,march_2020
01095,10700,"Albertville, AL","Marshall County, Alabama",micro,march_2020
35001,10740,"Albuquerque, NM","Bernalillo County, New Mexico",metro,march_2020
35043,10740,"Albuquerque, NM","Sandoval County, New Mexico",metro,march_2020
35057,10740,"Albuquerque, NM","Torrance County, New Mexico",metro,march_2020
35061,10740,"Albuquerque, NM","Valencia County, New Mexico",metro,march_2020
01037,10760,"Alexander City, AL","Coosa County, Alabama",micro,march_2020
01123,10760,"Alexander City, AL","Tallapoosa County, Alabama",micro,march_2020
22043,10780,"Alexandria, LA","Grant Parish, Louisiana",metro,march_2020
22079,10780,"Alexandria, LA","Rapides Parish, Louisiana",metro,march_2020
27041,10820,"Alexandria, MN","Douglas County, Minnesota",micro,march_2020
48131,10860,"Alice, TX","Duval County, Texas",micro,march_2020
48249,10860,"Alice, TX","Jim Wells County, Texas",micro,march_2020
34041,10900,"Allentown-Bethlehem-Easton, PA-NJ","Warren County, New Jersey",metro,march_2020
42025,10900,"Allentown-Bethlehem-Easton, PA-NJ","Carbon County, Pennsylvania",metro,march_2020
42077,10900,"Allentown-Bethlehem-Easton, PA-NJ","Lehigh County, Pennsylvania",metro,march_2020
42095,10900,"Allentown-Bethlehem-Easton, PA-NJ","Northampton County, Pennsylvania",metro,march_2020
26057,10940,"Alma, MI","Gratiot County, Michigan",micro,march_2020
26007,10980,"Alpena, MI","Alpena County, Michigan",micro,march_2020
42013,11020,"Altoona, PA","Blair County, Pennsylvania",metro,march_2020
40065,11060,"Altus, OK","Jackson County, Oklahoma",micro,march_2020
48011,11100,"Amarillo, TX","Armstrong County, Texas",metro,march_2020
48065,11100,"Amarillo, TX","Carson County, Texas",metro,march_2020
48359,11100,"Amarillo, TX","Oldham County, Texas",metro,march_2020
48375,11100,"Amarillo, TX","Potter County, Texas",metro,march_2020
48381,11100,"Amarillo, TX","Randall County, Texas",metro,march_2020
13249,11140,"Americus, GA","Schley County, Georgia",micro,march_2020
13261,11140,"Americus, GA","Sumter County, Georgia",micro,march_2020
19015,11180,"Ames, IA","Boone County, Iowa",metro,march_2020
19169,11180,"Ames, IA","Story County, Iowa",metro,march_2020
36057,11220,"Amsterdam, NY","Montgomery County, New York",micro,march_2020
48003,11380,"Andrews, TX","Andrews County, Texas",micro,march_2020
18151,11420,"Angola, IN","Steuben County, Indiana",micro,march_2020
26161,11460,"Ann Arbor, MI","Washtenaw County, Michigan",metro,march_2020
01015,11500,"Anniston-Oxford, AL","Calhoun County, Alabama",metro,march_2020
55015,11540,"Appleton, WI","Calumet County, Wisconsin",metro,march_2020
55087,11540,"Appleton, WI","Outagamie County, Wisconsin",metro,march_2020
12027,11580,"Arcadia, FL","DeSoto County, Florida",micro,march_2020
40019,11620,"Ardmore, OK","Carter County, Oklahoma",micro,march_2020
40085,11620,"Ardmore, OK","Love County, Oklahoma",micro,march_2020
05019,11660,"Arkadelphia, AR","Clark County, Arkansas",micro,march_2020
37021,11700,"Asheville, NC","Buncombe County, North Carolina",metro,march_2020
37087,11700,"Asheville, NC","Haywood County, North Carolina",metro,march_2020
37089,11700,"Asheville, NC","Henderson County, North Carolina",metro,march_2020
37115,11700,"Asheville, NC","Madison County, North Carolina",metro,march_2020
39005,11740,"Ashland, OH","Ashland County, Ohio",micro,march_2020
39007,11780,"Ashtabula, OH","Ashtabula County, Ohio",micro,march_2020
41007,11820,"Astoria, OR","Clatsop County, Oregon",micro,march_2020
20005,11860,"Atchison, KS","Atchison County, Kansas",micro,march_2020
39009,11900,"Athens, OH","Athens County, Ohio",micro,march_2020
47107,11940,"Athens, TN","McMinn County, Tennessee",micro,march_2020
48213,11980,"Athens, TX","Henderson County, Texas",micro,march_2020
13059,12020,"Athens-Clarke County, GA","Clarke County, Georgia",metro,march_2020
13195,12020,"Athens-Clarke County, GA","Madison County, Georgia",metro,march_2020
13219,12020,"Athens-Clarke County, GA","Oconee County, Georgia",metro,march_2020
13221,12020,"Athens-Clarke County, GA","Oglethorpe County, Georgia",metro,march_2020
13013,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Barrow County, Georgia",metro,march_2020
13015,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Bartow County, Georgia",metro,march_2020
13035,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Butts County, Georgia",metro,march_2020
13045,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Carroll County, Georgia",metro,march_2020
13057,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Cherokee County, Georgia",metro,march_2020
13063,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Clayton County, Georgia",metro,march_2020
13067,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Cobb County, Georgia",metro,march_2020
13077,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Coweta County, Georgia",metro,march_2020
13085,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Dawson County, Georgia",metro,march_2020
13089,12060,"Atlanta-Sandy Springs-Alpharetta, GA","DeKalb County, Georgia",metro,march_2020
13097,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Douglas County, Georgia",metro,march_2020
13113,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Fayette County, Georgia",metro,march_2020
13117,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Forsyth County, Georgia",metro,march_2020
13121,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Fulton County, Georgia",metro,march_2020
13135,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Gwinnett County, Georgia",metro,march_2020
13143,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Haralson County, Georgia",metro,march_2020
13149,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Heard County, Georgia",metro,march_2020
13151,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Henry County, Georgia",metro,march_2020
13159,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Jasper County, Georgia",metro,march_2020
13171,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Lamar County, Georgia",metro,march_2020
13199,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Meriwether County, Georgia",metro,march_2020
13211,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Morgan County, Georgia",metro,march_2020
13217,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Newton County, Georgia",metro,march_2020
13223,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Paulding County, Georgia",metro,march_2020
13227,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Pickens County, Georgia",metro,march_2020
13231,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Pike County, Georgia",metro,march_2020
13247,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Rockdale County, Georgia",metro,march_2020
13255,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Spalding County, Georgia",metro,march_2020
13297,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Walton County, Georgia",metro,march_2020
34001,12100,"Atlantic City-Hammonton, NJ","Atlantic County, New Jersey",metro,march_2020
01053,12120,"Atmore, AL","Escambia County, Alabama",micro,march_2020
18033,12140,"Auburn, IN","DeKalb County, Indiana",micro,march_2020
36011,12180,"Auburn, NY","Cayuga County, New York",micro,march_2020
01081,12220,"Auburn-Opelika, AL","Lee County, Alabama",metro,march_2020
13033,12260,"Augusta-Richmond County, GA-SC","Burke County, Georgia",metro,march_2020
13073,12260,"Augusta-Richmond County, GA-SC","Columbia County, Georgia",metro,march_2020
13181,12260,"Augusta-Richmond County, GA-SC","Lincoln County, Georgia",metro,march_2020
13189,12260,"Augusta-Richmond County, GA-SC","McDuffie County, Georgia",metro,march_2020
13245,12260,"Augusta-Richmond County, GA-SC","Richmond County, Georgia",metro,march_2020
45003,12260,"Augusta-Richmond County, GA-SC","Aiken County, South Carolina",metro,march_2020
45037,12260,"Augusta-Richmond County, GA-SC","Edgefield County, South Carolina",metro,march_2020
23011,12300,"Augusta-Waterville, ME","Kennebec County, Maine",micro,march_2020
27099,12380,"Austin, MN","Mower County, Minnesota",micro,march_2020
48021,12420,"Austin-Round Rock-Georgetown, TX","Bastrop County, Texas",metro,march_2020
48055,12420,"Austin-Round Rock-Georgetown, TX","Caldwell County, Texas",metro,march_2020
48209,12420,"Austin-Round Rock-Georgetown, TX","Hays County, Texas",metro,march_2020
48453,12420,"Austin-Round Rock-Georgetown, TX","Travis County, Texas",metro,march_2020
48491,12420,"Austin-Round Rock-Georgetown, TX","Williamson County, Texas",metro,march_2020
13087,12460,"Bainbridge, GA","Decatur County, Georgia",micro,march_2020
06029,12540,"Bakersfield, CA","Kern County, California",metro,march_2020
24003,12580,"Baltimore-Columbia-Towson, MD","Anne Arundel County, Maryland",metro,march_2020
24005,12580,"Baltimore-Columbia-Towson, MD","Baltimore County, Maryland",metro,march_2020
24013,12580,"Baltimore-Columbia-Towson, MD","Carroll County, Maryland",metro,march_2020
24025,12580,"Baltimore-Columbia-Towson, MD","Harford County, Maryland",metro,march_2020
24027,12580,"Baltimore-Columbia-Towson, MD","Howard County, Maryland",metro,march_2020
24035,12580,"Baltimore-Columbia-Towson, MD","Queen Anne's County, Maryland",metro,march_2020
24510,12580,"Baltimore-Columbia-Towson, MD","Baltimore city, Maryland",metro,march_2020
23019,12620,"Bangor, ME","Penobscot County, Maine",metro,march_2020
55111,12660,"Baraboo, WI","Sauk County, Wisconsin",micro,march_2020
21179,12680,"Bardstown, KY","Nelson County, Kentucky",micro,march_2020
25001,12700,"Barnstable Town, MA","Barnstable County, Massachusetts",metro,march_2020
50023,12740,"Barre, VT","Washington County, Vermont",micro,march_2020
40147,12780,"Bartlesville, OK","Washington County, Oklahoma",micro,march_2020
36037,12860,"Batavia, NY","Genesee County, New York",micro,march_2020
05063,12900,"Batesville, AR","Independence County, Arkansas",micro,march_2020
05135,12900,"Batesville, AR","Sharp County, Arkansas",micro,march_2020
22005,12940,"Baton Rouge, LA","Ascension Parish, Louisiana",metro,march_2020
22007,12940,"Baton Rouge, LA","Assumption Parish, Louisiana",metro,march_2020
22033,12940,"Baton Rouge, LA","East Baton Rouge Parish, Louisiana",metro,march_2020
22037,12940,"Baton Rouge, LA","East Feliciana Parish, Louisiana",metro,march_2020
22047,12940,"Baton Rouge, LA","Iberville Parish, Louisiana",metro,march_2020
22063,12940,"Baton Rouge, LA","Livingston Parish, Louisiana",metro,march_2020
22077,12940,"Baton Rouge, LA","Pointe Coupee Parish, Louisiana",metro,march_2020
22091,12940,"Baton Rouge, LA","St. Helena Parish, Louisiana",metro,march_2020
